node_id,x_coord,y_coord,Centroid,zone_id,geometry
2179,-77.74114399999999,39.123208,,2179.0,POINT (-77.741144 39.123208)
2180,-77.757372,39.117888,,2180.0,POINT (-77.757372 39.117888)
2181,-77.75099499999999,39.105469,,2181.0,POINT (-77.750995 39.105469)
2182,-77.735745,39.087564,,2182.0,POINT (-77.735745 39.087564)
2183,-77.77085,39.090156,,2183.0,POINT (-77.77085 39.090156)
2184,-77.804827,39.109664,,2184.0,POINT (-77.804827 39.109664)
2185,-77.76731600000001,39.115659,,2185.0,POINT (-77.767316 39.115659)
2186,-77.777192,39.116671000000004,,2186.0,POINT (-77.777192 39.116671)
2187,-77.786402,39.122032,,2187.0,POINT (-77.786402 39.122032)
2188,-77.801172,39.129057,,2188.0,POINT (-77.801172 39.129057)
2189,-77.785726,39.143195,,2189.0,POINT (-77.785726 39.143195)
2190,-77.76682,39.139957,,2190.0,POINT (-77.76682 39.139957)
2191,-77.775129,39.138543,,2191.0,POINT (-77.775129 39.138543)
2192,-77.774742,39.130481,,2192.0,POINT (-77.774742 39.130481)
2193,-77.765485,39.124959999999994,,2193.0,POINT (-77.765485 39.12496)
2194,-77.772809,39.123917999999996,,2194.0,POINT (-77.772809 39.123918)
2195,-77.758691,39.130518,,2195.0,POINT (-77.758691 39.130518)
2196,-77.764645,39.132093,,2196.0,POINT (-77.764645 39.132093)
2197,-77.761886,39.137537,,2197.0,POINT (-77.761886 39.137537)
2198,-77.760713,39.143201,,2198.0,POINT (-77.760713 39.143201)
2199,-77.736805,39.140594,,2199.0,POINT (-77.736805 39.140594)
2200,-77.741615,39.152186,,2200.0,POINT (-77.741615 39.152186)
2201,-77.755894,39.162562,,2201.0,POINT (-77.755894 39.162562)
2202,-77.788219,39.166385,,2202.0,POINT (-77.788219 39.166385)
2203,-77.817022,39.140136,,2203.0,POINT (-77.817022 39.140136)
2204,-77.738803,39.282353,,2204.0,POINT (-77.738803 39.282353)
2205,-77.710522,39.287596,,2205.0,POINT (-77.710522 39.287596)
2206,-77.65055500000001,39.282216,,2206.0,POINT (-77.650555 39.282216)
2207,-77.684066,39.29007,,2207.0,POINT (-77.684066 39.29007)
2208,-77.677921,39.263369,,2208.0,POINT (-77.677921 39.263369)
2209,-77.67750699999999,39.23563,,2209.0,POINT (-77.677507 39.23563)
2210,-77.722243,39.222871000000005,,2210.0,POINT (-77.722243 39.222871)
2211,-77.73998,39.243718,,2211.0,POINT (-77.73998 39.243718)
2212,-77.762814,39.216757,,2212.0,POINT (-77.762814 39.216757)
2213,-77.779421,39.191734000000004,,2213.0,POINT (-77.779421 39.191734)
2214,-77.73563,39.183165,,2214.0,POINT (-77.73563 39.183165)
2215,-77.70669699999999,39.175606,,2215.0,POINT (-77.706697 39.175606)
2216,-77.724809,39.197913,,2216.0,POINT (-77.724809 39.197913)
2217,-77.72431,39.200140000000005,,2217.0,POINT (-77.72431 39.20014)
2218,-77.68846500000001,39.204181,,2218.0,POINT (-77.688465 39.204181)
2219,-77.648482,39.199596,,2219.0,POINT (-77.648482 39.199596)
2220,-77.66640600000001,39.163612,,2220.0,POINT (-77.666406 39.163612)
2221,-77.679177,39.15,,2221.0,POINT (-77.679177 39.15)
2222,-77.714302,39.152034,,2222.0,POINT (-77.714302 39.152034)
2223,-77.70544100000001,39.140825,,2223.0,POINT (-77.705441 39.140825)
2224,-77.67759699999999,39.129211,,2224.0,POINT (-77.677597 39.129211)
2225,-77.668788,39.132633,,2225.0,POINT (-77.668788 39.132633)
2226,-77.681135,39.140099,,2226.0,POINT (-77.681135 39.140099)
2227,-77.662614,39.137421,,2227.0,POINT (-77.662614 39.137421)
2228,-77.652123,39.139506,,2228.0,POINT (-77.652123 39.139506)
2229,-77.659024,39.132836,,2229.0,POINT (-77.659024 39.132836)
2230,-77.674145,39.112097,,2230.0,POINT (-77.674145 39.112097)
2231,-77.617513,39.123974,,2231.0,POINT (-77.617513 39.123974)
2232,-77.641067,39.1201,,2232.0,POINT (-77.641067 39.1201)
2233,-77.632964,39.146275,,2233.0,POINT (-77.632964 39.146275)
2234,-77.595438,39.146823,,2234.0,POINT (-77.595438 39.146823)
2235,-77.632074,39.173047,,2235.0,POINT (-77.632074 39.173047)
2236,-77.60945699999999,39.203154,,2236.0,POINT (-77.609457 39.203154)
2237,-77.591985,39.1849,,2237.0,POINT (-77.591985 39.1849)
2238,-77.567114,39.175684999999994,,2238.0,POINT (-77.567114 39.175685)
2239,-77.545063,39.180704999999996,,2239.0,POINT (-77.545063 39.180705)
2240,-77.50648699999999,39.198027,,2240.0,POINT (-77.506487 39.198027)
2241,-77.505829,39.218075,,2241.0,POINT (-77.505829 39.218075)
2242,-77.54714200000001,39.243613,,2242.0,POINT (-77.547142 39.243613)
2243,-77.594752,39.246907,,2243.0,POINT (-77.594752 39.246907)
2244,-77.568472,39.225575,,2244.0,POINT (-77.568472 39.225575)
2245,-77.608917,39.223648,,2245.0,POINT (-77.608917 39.223648)
2246,-77.642861,39.229576,,2246.0,POINT (-77.642861 39.229576)
2247,-77.639103,39.269443,,2247.0,POINT (-77.639103 39.269443)
2248,-77.623423,39.256809999999994,,2248.0,POINT (-77.623423 39.25681)
2249,-77.57326,39.274640000000005,,2249.0,POINT (-77.57326 39.27464)
2250,-77.621563,39.287252,,2250.0,POINT (-77.621563 39.287252)
2251,-77.633975,39.276241999999996,,2251.0,POINT (-77.633975 39.276242)
2252,-77.643968,39.271111,,2252.0,POINT (-77.643968 39.271111)
2253,-77.639845,39.280361,,2253.0,POINT (-77.639845 39.280361)
2254,-77.591465,39.291438,,2254.0,POINT (-77.591465 39.291438)
2255,-77.507069,39.238958000000004,,2255.0,POINT (-77.507069 39.238958)
2256,-77.486698,39.0908,,2256.0,POINT (-77.486698 39.0908)
2257,-77.51859499999999,39.17306,,2257.0,POINT (-77.518595 39.17306)
2258,-77.536181,39.140609999999995,,2258.0,POINT (-77.536181 39.14061)
2259,-77.531062,39.125065,,2259.0,POINT (-77.531062 39.125065)
2260,-77.516511,39.111545,,2260.0,POINT (-77.516511 39.111545)
2261,-77.49980500000001,39.101362,,2261.0,POINT (-77.499805 39.101362)
2262,-77.52646800000001,39.089787,,2262.0,POINT (-77.526468 39.089787)
2263,-77.522213,39.096058,,2263.0,POINT (-77.522213 39.096058)
2264,-77.514287,39.102238,,2264.0,POINT (-77.514287 39.102238)
2265,-77.533528,39.106065,,2265.0,POINT (-77.533528 39.106065)
2266,-77.54334899999999,39.086657,,2266.0,POINT (-77.543349 39.086657)
2267,-77.54440600000001,39.097266999999995,,2267.0,POINT (-77.544406 39.097267)
2268,-77.559698,39.093595,,2268.0,POINT (-77.559698 39.093595)
2269,-77.559636,39.105427,,2269.0,POINT (-77.559636 39.105427)
2270,-77.548598,39.110877,,2270.0,POINT (-77.548598 39.110877)
2271,-77.535838,39.119415000000004,,2271.0,POINT (-77.535838 39.119415)
2272,-77.550312,39.121854,,2272.0,POINT (-77.550312 39.121854)
2273,-77.564174,39.125306,,2273.0,POINT (-77.564174 39.125306)
2274,-77.565381,39.140153999999995,,2274.0,POINT (-77.565381 39.140154)
2275,-77.568674,39.119463,,2275.0,POINT (-77.568674 39.119463)
2276,-77.576996,39.123319,,2276.0,POINT (-77.576996 39.123319)
2277,-77.596611,39.124016999999995,,2277.0,POINT (-77.596611 39.124017)
2278,-77.579382,39.110369,,2278.0,POINT (-77.579382 39.110369)
2279,-77.570463,39.112593,,2279.0,POINT (-77.570463 39.112593)
2280,-77.574074,39.092776,,2280.0,POINT (-77.574074 39.092776)
2281,-77.590836,39.095021,,2281.0,POINT (-77.590836 39.095021)
2282,-77.61401500000001,39.099732,,2282.0,POINT (-77.614015 39.099732)
2283,-77.630404,39.077026000000004,,2283.0,POINT (-77.630404 39.077026)
2284,-77.597872,39.076518,,2284.0,POINT (-77.597872 39.076518)
2285,-77.577925,39.069821999999995,,2285.0,POINT (-77.577925 39.069822)
2286,-77.559783,39.03415,,2286.0,POINT (-77.559783 39.03415)
2287,-77.53660500000001,39.057629999999996,,2287.0,POINT (-77.536605 39.05763)
2288,-77.560847,39.069988,,2288.0,POINT (-77.560847 39.069988)
2289,-77.556911,39.080973,,2289.0,POINT (-77.556911 39.080973)
2290,-77.542292,39.072348999999996,,2290.0,POINT (-77.542292 39.072349)
2291,-77.533982,39.066165000000005,,2291.0,POINT (-77.533982 39.066165)
2292,-77.52587,39.081344,,2292.0,POINT (-77.52587 39.081344)
2293,-77.513036,39.078255,,2293.0,POINT (-77.513036 39.078255)
2294,-77.50954399999999,39.074182,,2294.0,POINT (-77.509544 39.074182)
2295,-77.502375,39.085083000000004,,2295.0,POINT (-77.502375 39.085083)
2296,-77.489372,39.077505,,2296.0,POINT (-77.489372 39.077505)
2297,-77.494465,39.065638,,2297.0,POINT (-77.494465 39.065638)
2298,-77.50540699999999,39.061089,,2298.0,POINT (-77.505407 39.061089)
2299,-77.522623,39.054134999999995,,2299.0,POINT (-77.522623 39.054135)
2300,-77.51326999999999,39.052158,,2300.0,POINT (-77.51327 39.052158)
2301,-77.491681,39.049593,,2301.0,POINT (-77.491681 39.049593)
2302,-77.495738,39.040694,,2302.0,POINT (-77.495738 39.040694)
2303,-77.49930400000001,39.025434000000004,,2303.0,POINT (-77.499304 39.025434)
2304,-77.521295,39.024265,,2304.0,POINT (-77.521295 39.024265)
2305,-77.51193599999999,39.039034,,2305.0,POINT (-77.511936 39.039034)
2306,-77.534295,39.028006,,2306.0,POINT (-77.534295 39.028006)
2307,-77.522768,39.003814,,2307.0,POINT (-77.522768 39.003814)
2308,-77.508261,39.008932,,2308.0,POINT (-77.508261 39.008932)
2309,-77.50899100000001,39.02251,,2309.0,POINT (-77.508991 39.02251)
2310,-77.487486,39.019661,,2310.0,POINT (-77.487486 39.019661)
2311,-77.49758100000001,39.013602,,2311.0,POINT (-77.497581 39.013602)
2312,-77.501068,39.005993,,2312.0,POINT (-77.501068 39.005993)
2313,-77.493113,38.999686,,2313.0,POINT (-77.493113 38.999686)
2314,-77.50304799999999,38.999337,,2314.0,POINT (-77.503048 38.999337)
2315,-77.507077,38.995379,,2315.0,POINT (-77.507077 38.995379)
2316,-77.514427,38.995836,,2316.0,POINT (-77.514427 38.995836)
2317,-77.497925,38.9884,,2317.0,POINT (-77.497925 38.9884)
2318,-77.497676,38.973423,,2318.0,POINT (-77.497676 38.973423)
2319,-77.482111,38.991973,,2319.0,POINT (-77.482111 38.991973)
2320,-77.475175,38.986598,,2320.0,POINT (-77.475175 38.986598)
2321,-77.45779399999999,38.9979,,2321.0,POINT (-77.457794 38.9979)
2322,-77.46700799999999,39.002390999999996,,2322.0,POINT (-77.467008 39.002391)
2323,-77.486389,39.004822,,2323.0,POINT (-77.486389 39.004822)
2324,-77.475488,39.011854,,2324.0,POINT (-77.475488 39.011854)
2325,-77.457328,39.017934000000004,,2325.0,POINT (-77.457328 39.017934)
2326,-77.447315,39.001065000000004,,2326.0,POINT (-77.447315 39.001065)
2327,-77.44147199999999,39.010532,,2327.0,POINT (-77.441472 39.010532)
2328,-77.435649,39.020024,,2328.0,POINT (-77.435649 39.020024)
2329,-77.429585,39.017179999999996,,2329.0,POINT (-77.429585 39.01718)
2330,-77.42133100000001,39.017608,,2330.0,POINT (-77.421331 39.017608)
2331,-77.417152,39.02228,,2331.0,POINT (-77.417152 39.02228)
2332,-77.42502900000001,39.035140000000006,,2332.0,POINT (-77.425029 39.03514)
2333,-77.444897,39.030319,,2333.0,POINT (-77.444897 39.030319)
2334,-77.43522,39.03792,,2334.0,POINT (-77.43522 39.03792)
2335,-77.44513,39.048431,,2335.0,POINT (-77.44513 39.048431)
2336,-77.454252,39.031667,,2336.0,POINT (-77.454252 39.031667)
2337,-77.468304,39.034242,,2337.0,POINT (-77.468304 39.034242)
2338,-77.469594,39.026903000000004,,2338.0,POINT (-77.469594 39.026903)
2339,-77.480815,39.032544,,2339.0,POINT (-77.480815 39.032544)
2340,-77.481071,39.04333,,2340.0,POINT (-77.481071 39.04333)
2341,-77.479466,39.052758000000004,,2341.0,POINT (-77.479466 39.052758)
2342,-77.468417,39.055155,,2342.0,POINT (-77.468417 39.055155)
2343,-77.46336099999999,39.043336,,2343.0,POINT (-77.463361 39.043336)
2344,-77.456709,39.053145,,2344.0,POINT (-77.456709 39.053145)
2345,-77.466627,39.060338,,2345.0,POINT (-77.466627 39.060338)
2346,-77.477489,39.065709000000005,,2346.0,POINT (-77.477489 39.065709)
2347,-77.47545699999999,39.073084,,2347.0,POINT (-77.475457 39.073084)
2348,-77.472189,39.082322999999995,,2348.0,POINT (-77.472189 39.082323)
2349,-77.466255,39.071855,,2349.0,POINT (-77.466255 39.071855)
2350,-77.458637,39.067031,,2350.0,POINT (-77.458637 39.067031)
2351,-77.44516,39.059958,,2351.0,POINT (-77.44516 39.059958)
2352,-77.43024399999999,39.062129999999996,,2352.0,POINT (-77.430244 39.06213)
2353,-77.426673,39.049209000000005,,2353.0,POINT (-77.426673 39.049209)
2354,-77.40869599999999,39.047812,,2354.0,POINT (-77.408696 39.047812)
2355,-77.418017,39.043597,,2355.0,POINT (-77.418017 39.043597)
2356,-77.410584,39.038206,,2356.0,POINT (-77.410584 39.038206)
2357,-77.407618,39.028090999999996,,2357.0,POINT (-77.407618 39.028091)
2358,-77.391139,39.039997,,2358.0,POINT (-77.391139 39.039997)
2359,-77.396141,39.044771999999995,,2359.0,POINT (-77.396141 39.044772)
2360,-77.372213,39.054337,,2360.0,POINT (-77.372213 39.054337)
2361,-77.400313,39.057918,,2361.0,POINT (-77.400313 39.057918)
2362,-77.351015,39.054655,,2362.0,POINT (-77.351015 39.054655)
2363,-77.36263100000001,39.032893,,2363.0,POINT (-77.362631 39.032893)
2364,-77.349649,39.041028999999995,,2364.0,POINT (-77.349649 39.041029)
2365,-77.377737,39.044827000000005,,2365.0,POINT (-77.377737 39.044827)
2366,-77.372002,39.036301,,2366.0,POINT (-77.372002 39.036301)
2367,-77.383413,39.027846000000004,,2367.0,POINT (-77.383413 39.027846)
2368,-77.39628,39.031927,,2368.0,POINT (-77.39628 39.031927)
2369,-77.392989,39.019176,,2369.0,POINT (-77.392989 39.019176)
2370,-77.380707,39.016877,,2370.0,POINT (-77.380707 39.016877)
2371,-77.372928,39.022127000000005,,2371.0,POINT (-77.372928 39.022127)
2372,-77.383036,39.012172,,2372.0,POINT (-77.383036 39.012172)
2373,-77.404818,38.991184000000004,,2373.0,POINT (-77.404818 38.991184)
2374,-77.390001,39.005199,,2374.0,POINT (-77.390001 39.005199)
2375,-77.397324,38.998178,,2375.0,POINT (-77.397324 38.998178)
2376,-77.407002,39.004663,,2376.0,POINT (-77.407002 39.004663)
2377,-77.404072,39.015418,,2377.0,POINT (-77.404072 39.015418)
2378,-77.413993,39.00923,,2378.0,POINT (-77.413993 39.00923)
2379,-77.419899,39.012885,,2379.0,POINT (-77.419899 39.012885)
2380,-77.42593000000001,39.009813,,2380.0,POINT (-77.42593 39.009813)
2381,-77.41901,39.001214000000004,,2381.0,POINT (-77.41901 39.001214)
2382,-77.42854799999999,38.996947999999996,,2382.0,POINT (-77.428548 38.996948)
2383,-77.440278,38.988228,,2383.0,POINT (-77.440278 38.988228)
2384,-77.417301,38.984517,,2384.0,POINT (-77.417301 38.984517)
2385,-77.421588,38.971891,,2385.0,POINT (-77.421588 38.971891)
2386,-77.440561,38.977092999999996,,2386.0,POINT (-77.440561 38.977093)
2387,-77.480299,38.965426,,2387.0,POINT (-77.480299 38.965426)
2388,-77.458191,38.950688,,2388.0,POINT (-77.458191 38.950688)
